id,name,email,sex,age,instrument,region,introduction,level,password,chat_flag,,,,,,,,,,,,
162,もりもと ゆうた,session@gmail.com162,男性,38,ギター,長崎,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,2,password,TRUE,,,,,,,,,,,,
163,こじま とおる,session@gmail.com163,男性,18,ベース,熊本,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
164,にしかわ たけし,session@gmail.com164,男性,19,ドラム,大分,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
165,まつおか ともゆき,session@gmail.com165,男性,20,ボーカル,宮崎,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
166,あらい まさかず,session@gmail.com166,男性,21,キーボード,鹿児島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
167,まつお しんや,session@gmail.com167,男性,22,その他,沖縄,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
168,かわさき たいち,session@gmail.com168,男性,23,ギター,北海道,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
169,のむら あきら,session@gmail.com169,男性,24,ベース,青森,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
170,ほしの りょうすけ,session@gmail.com170,男性,25,ドラム,岩手,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
171,さいとう しゅうへい,session@gmail.com171,男性,26,ボーカル,宮城,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
172,のだ りょうた,session@gmail.com172,男性,27,キーボード,秋田,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
173,ほんだ ゆう,session@gmail.com173,男性,28,その他,山形,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
174,きくち いさむ,session@gmail.com174,男性,29,ギター,福島,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
175,いわた けんじ,session@gmail.com175,男性,30,ベース,茨城,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
176,くろだ たかし,session@gmail.com176,男性,31,ドラム,栃木,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
177,おおはし ゆうじ,session@gmail.com177,男性,32,ボーカル,群馬,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
178,いしはら ひろき,session@gmail.com178,男性,33,キーボード,埼玉,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
179,こうの みつる,session@gmail.com179,男性,34,その他,千葉,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
180,みなみ はじめ,session@gmail.com180,男性,35,ギター,東京,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
181,なかむら まき,session@gmail.com181,女性,36,ベース,神奈川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
182,ますだ みか,session@gmail.com182,女性,37,ドラム,新潟,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
183,はしもと ひろみ,session@gmail.com183,女性,38,ボーカル,富山,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
184,やまさき けいこ,session@gmail.com184,女性,18,キーボード,石川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
185,みやもと みゆき,session@gmail.com185,女性,19,その他,福井,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
186,やまもと のぶこ,session@gmail.com186,女性,20,ギター,山梨,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
187,かとう いくこ,session@gmail.com187,女性,21,ベース,長野,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
188,やまだ ともよ,session@gmail.com188,女性,22,ドラム,岐阜,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
189,わたなべ みすず,session@gmail.com189,女性,23,ボーカル,静岡,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
190,おおくぼ あさみ,session@gmail.com190,女性,24,キーボード,愛知,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
191,はっとり みゆき,session@gmail.com191,女性,25,その他,三重,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
192,のぐち あやか,session@gmail.com192,女性,26,ギター,滋賀,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
193,おおつか なつこ,session@gmail.com193,女性,27,ベース,京都,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
194,ひらた かなこ,session@gmail.com194,女性,28,ドラム,大阪,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
195,ほんだ じゅんこ,session@gmail.com195,女性,29,ボーカル,兵庫,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
196,やすだ のぞみ,session@gmail.com196,女性,30,キーボード,奈良,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
197,にしむら はるか,session@gmail.com197,女性,31,その他,和歌山,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
198,はら ちなつ,session@gmail.com198,女性,32,ギター,鳥取,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
199,はらだ いくみ,session@gmail.com199,女性,33,ベース,島根,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
200,こまつ さゆり,session@gmail.com200,女性,34,ドラム,岡山,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
201,ほしの なるみ,session@gmail.com201,女性,35,ボーカル,広島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
202,もり まさみ,session@gmail.com202,女性,36,キーボード,山口,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
203,いがらし なつみ,session@gmail.com203,女性,37,その他,徳島,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
204,いちかわ みさ,session@gmail.com204,女性,38,ギター,香川,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
205,こやま りさ,session@gmail.com205,女性,18,ベース,愛媛,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,5,password,TRUE,,,,,,,,,,,,
206,のむら ちひろ,session@gmail.com206,女性,19,ドラム,高知,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,1,password,TRUE,,,,,,,,,,,,
207,さかもと のぞみ,session@gmail.com207,女性,20,ボーカル,福岡,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,2,password,TRUE,,,,,,,,,,,,
208,ささき てるみ,session@gmail.com208,女性,21,キーボード,佐賀,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
209,しばた さき,session@gmail.com209,女性,22,その他,長崎,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
210,ひらの あい,session@gmail.com210,女性,23,ギター,熊本,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
211,まえだ ゆり,session@gmail.com211,女性,24,ベース,大分,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
212,さの ひかる,session@gmail.com212,女性,25,ドラム,宮崎,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
213,いのうえ ゆか,session@gmail.com213,女性,26,ボーカル,鹿児島,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
214,さわだ まいこ,session@gmail.com214,女性,27,キーボード,沖縄,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
215,せき あやか,session@gmail.com215,女性,28,その他,北海道,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
216,ふくだ まゆみ,session@gmail.com216,女性,29,ギター,青森,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
217,あんどう なおこ,session@gmail.com217,女性,30,ベース,岩手,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
218,いまい なつみ,session@gmail.com218,女性,31,ドラム,宮城,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
219,よしかわ えり,session@gmail.com219,女性,32,ボーカル,秋田,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
220,いわさき はるみ,session@gmail.com220,女性,33,キーボード,山形,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
221,なかやま あや,session@gmail.com221,女性,34,その他,福島,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
222,いしだ なおこ,session@gmail.com222,女性,35,ギター,茨城,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
223,うちだ ゆうこ,session@gmail.com223,女性,36,ベース,栃木,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
224,まつむら ゆい,session@gmail.com224,女性,37,ドラム,群馬,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
225,ながた ゆり,session@gmail.com225,女性,38,ボーカル,埼玉,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
226,さかい さやか,session@gmail.com226,女性,18,キーボード,千葉,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
227,くどう あいり,session@gmail.com227,女性,19,その他,東京,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
228,たかの ゆかり,session@gmail.com228,女性,20,ギター,神奈川,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
229,まつした まきこ,session@gmail.com229,女性,21,ベース,新潟,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
230,かわかみ ななこ,session@gmail.com230,女性,22,ドラム,富山,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
231,ふくしま さや,session@gmail.com231,女性,23,ボーカル,石川,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
232,もりもと ゆか,session@gmail.com232,女性,24,キーボード,福井,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
233,ひらい はるな,session@gmail.com233,女性,25,その他,山梨,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
234,たかだ なつき,session@gmail.com234,女性,26,ギター,長野,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
235,たけだ さやか,session@gmail.com235,女性,27,ベース,岐阜,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
236,ないとう なつき,session@gmail.com236,女性,28,ドラム,静岡,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
237,まつお ちえ,session@gmail.com237,女性,29,ボーカル,愛知,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
238,くぼた えみ,session@gmail.com238,女性,30,キーボード,三重,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
239,やまうち あんな,session@gmail.com239,女性,31,その他,滋賀,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
240,たぐち あけみ,session@gmail.com240,女性,32,ギター,京都,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
241,山本 健吾,session@gmail.com241,男性,18,ドラム,北海道,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
242,鈴木 俊行,session@gmail.com242,男性,19,ボーカル,青森,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
243,佐藤 正文,session@gmail.com243,男性,20,キーボード,岩手,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
244,井上 一平,session@gmail.com244,男性,21,その他,宮城,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
245,渡辺 康一,session@gmail.com245,男性,22,ギター,秋田,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
246,前田 浩司,session@gmail.com246,男性,23,ベース,山形,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
247,石田 憲治,session@gmail.com247,男性,24,ドラム,福島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
248,福田 幸弘,session@gmail.com248,男性,25,ボーカル,茨城,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
249,菅原 正博,session@gmail.com249,男性,26,キーボード,栃木,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
250,工藤 正則,session@gmail.com250,男性,27,その他,群馬,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
251,柴田 真太郎,session@gmail.com251,男性,28,ギター,埼玉,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
252,藤原 貴広,session@gmail.com252,男性,29,ベース,千葉,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
253,藤井 高明,session@gmail.com253,男性,30,ドラム,東京,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
254,杉本 正治,session@gmail.com254,男性,31,ボーカル,神奈川,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
255,松下 祥平,session@gmail.com255,男性,32,キーボード,新潟,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
256,佐々木 昌浩,session@gmail.com256,男性,33,その他,富山,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
257,田村 貴則,session@gmail.com257,男性,34,ギター,石川,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
258,清水 祐史,session@gmail.com258,男性,35,ベース,福井,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
259,山下 直大,session@gmail.com259,男性,36,ドラム,山梨,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
260,青木 知広,session@gmail.com260,男性,37,ボーカル,長野,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
261,大西 力也,session@gmail.com261,男性,38,キーボード,岐阜,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
262,田口 雅夫,session@gmail.com262,男性,18,その他,静岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
263,吉川 達朗,session@gmail.com263,男性,19,ギター,愛知,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
264,谷口 良雄,session@gmail.com264,男性,20,ベース,三重,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
265,池田 光利,session@gmail.com265,男性,21,ドラム,滋賀,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
266,松尾 悠樹,session@gmail.com266,男性,22,ボーカル,京都,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
267,阿部 重徳,session@gmail.com267,男性,23,キーボード,大阪,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
268,高田 秀文,session@gmail.com268,男性,24,その他,兵庫,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
269,安藤 優,session@gmail.com269,男性,25,ギター,奈良,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
270,後藤 健人,session@gmail.com270,男性,26,ベース,和歌山,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
271,石井 吉則,session@gmail.com271,男性,27,ドラム,鳥取,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
272,山崎 大典,session@gmail.com272,男性,28,ボーカル,島根,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
273,樋口 幹也,session@gmail.com273,男性,29,キーボード,岡山,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
274,斉藤 真和,session@gmail.com274,男性,30,その他,広島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
275,島田 康徳,session@gmail.com275,男性,31,ギター,山口,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
276,坂本 太樹,session@gmail.com276,男性,32,ベース,徳島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
277,齋藤 信貴,session@gmail.com277,男性,33,ドラム,香川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
278,市川 庸平,session@gmail.com278,男性,34,ボーカル,愛媛,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
279,森田 晃生,session@gmail.com279,男性,35,キーボード,高知,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
280,杉山 一彰,session@gmail.com280,男性,36,その他,福岡,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,5,password,TRUE,,,,,,,,,,,,
281,横山 勝男,session@gmail.com281,男性,37,ギター,佐賀,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,1,password,TRUE,,,,,,,,,,,,
282,岡本 政勝,session@gmail.com282,男性,38,ベース,長崎,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,2,password,TRUE,,,,,,,,,,,,
283,和田 直喜,session@gmail.com283,男性,18,ドラム,熊本,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
284,内藤 一弥,session@gmail.com284,男性,19,ボーカル,大分,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
285,中島 勝博,session@gmail.com285,男性,20,キーボード,宮崎,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
286,本田 浩貴,session@gmail.com286,男性,21,その他,鹿児島,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
287,水野 信司,session@gmail.com287,男性,22,ギター,沖縄,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
288,村田 明典,session@gmail.com288,男性,23,ベース,北海道,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
289,上田 幸秀,session@gmail.com289,男性,24,ドラム,青森,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,4,password,TRUE,,,,,,,,,,,,
290,渡邉 知,session@gmail.com290,男性,25,ボーカル,岩手,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,5,password,TRUE,,,,,,,,,,,,
291,服部 享,session@gmail.com291,男性,26,キーボード,宮城,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,1,password,TRUE,,,,,,,,,,,,
292,岩崎 智也,session@gmail.com292,男性,27,その他,秋田,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
293,平井 弘,session@gmail.com293,男性,28,ギター,山形,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,3,password,TRUE,,,,,,,,,,,,
294,川口 卓史,session@gmail.com294,男性,29,ベース,福島,一緒にライブができるメンバーをベースを募集しています。,4,password,TRUE,,,,,,,,,,,,
295,福島 敬一郎,session@gmail.com295,男性,30,ドラム,茨城,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
296,永井 和郎,session@gmail.com296,男性,31,ボーカル,栃木,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
297,河野 保幸,session@gmail.com297,男性,32,キーボード,群馬,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
298,野田 寛志,session@gmail.com298,男性,33,その他,埼玉,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,3,password,TRUE,,,,,,,,,,,,
299,永田 善昭,session@gmail.com299,男性,34,ギター,千葉,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,4,password,TRUE,,,,,,,,,,,,
300,馬場 文章,session@gmail.com300,男性,35,ベース,東京,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,5,password,TRUE,,,,,,,,,,,,
301,吉田 由起子,session@gmail.com301,女性,36,ドラム,神奈川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,1,password,TRUE,,,,,,,,,,,,
302,太田 彩夏,session@gmail.com302,女性,37,ボーカル,新潟,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,2,password,TRUE,,,,,,,,,,,,
303,森田 理奈,session@gmail.com303,女性,38,キーボード,富山,一緒にライブができるメンバーをベースを募集しています。,3,password,TRUE,,,,,,,,,,,,
304,加藤 沙也佳,session@gmail.com304,女性,18,その他,石川,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
305,山下 美貴子,session@gmail.com305,女性,19,ギター,福井,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
306,矢野 あや,session@gmail.com306,女性,20,ベース,山梨,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
307,市川 洋美,session@gmail.com307,女性,21,ドラム,長野,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,2,password,TRUE,,,,,,,,,,,,
308,尾崎 まり,session@gmail.com308,女性,22,ボーカル,岐阜,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,3,password,TRUE,,,,,,,,,,,,
309,高橋 知歩,session@gmail.com309,女性,23,キーボード,静岡,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,4,password,TRUE,,,,,,,,,,,,
310,和田 光恵,session@gmail.com310,女性,24,その他,愛知,リードギターを募集しています。気になる方は、気軽にチャットしてください！,5,password,TRUE,,,,,,,,,,,,
311,永井 結香,session@gmail.com311,女性,25,ギター,三重,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,1,password,TRUE,,,,,,,,,,,,
312,原田 亜紗美,session@gmail.com312,女性,26,ベース,滋賀,一緒にライブができるメンバーをベースを募集しています。,2,password,TRUE,,,,,,,,,,,,
313,中村 恵梨佳,session@gmail.com313,女性,27,ドラム,京都,リードギターを募集しています。気になる方は、気軽にチャットしてください！,3,password,TRUE,,,,,,,,,,,,
314,田中 あや乃,session@gmail.com314,女性,28,ボーカル,大阪,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,4,password,TRUE,,,,,,,,,,,,
315,安田 のりこ,session@gmail.com315,女性,29,キーボード,兵庫,一緒にライブができるメンバーをベースを募集しています。,5,password,TRUE,,,,,,,,,,,,
316,山内 美月,session@gmail.com316,女性,30,その他,奈良,ヘルプでボーカルをしてくれる男性を募集しています。初心者歓迎です！,1,password,TRUE,,,,,,,,,,,,
317,浅野 香純,session@gmail.com317,女性,31,ギター,和歌山,作詞した曲を演奏して頂ける方を探しています。興味のある方は、ご連絡下さい。,2,password,TRUE,,,,,,,,,,,,
318,片山 千亜紀,session@gmail.com318,女性,32,ベース,鳥取,プロを目指しているバンドです。キーボードを取り入れたいので、プロ志向でキーボードが弾ける方、募集中！,3,password,TRUE,,,,,,,,,,,,
319,高田 友理恵,session@gmail.com319,女性,33,ドラム,島根,リードギターを募集しています。気になる方は、気軽にチャットしてください！,4,password,TRUE,,,,,,,,,,,,
320,中川 ユカ,session@gmail.com320,女性,34,ボーカル,岡山,楽器歴1年の初心者です。初心者ドラマーを探しているバンドの方、是非メッセージください,5,password,TRUE,,,,,,,,,,,,
321,横山 七美,session@gmail.com321,女性,35,キーボード,広島,一緒にライブができるメンバーをベースを募集しています。,1,password,TRUE,,,,,,,,,,,,
322,井上 麻祐,session@gmail.com322,女性,36,その他,山口,リードギターを募集しています。気になる方は、気軽にチャットしてください！,2,password,TRUE,,,,,,,,,,,,
